item_name,category,description,stats,passive,cost,image_url,document
Thunder Belt,Item / Defense,Damage for Tanks,"+600 HP, +15 Physical Defense, +15 Magic Defense, +20 Movement Speed","Thunderbolt Every 4 seconds, the next Basic Attack deals 50 (+100% Extra Physical Defense) (+100% Extra Magic Defense) extra True Damage to the target and enemies around them, and briefly slows them by 99%. Hybrid Defense permanently increases by 1 each time the attack hits an enemy hero. (This effect is reduced to 50% for Marksmen and Mages)",1820 gold,https://www.mlbbguides.com/tupian/zhuangbei/thunder-belt.png,"Item: Thunder Belt
Category: Item / Defense
Cost: 1820 gold
Description: Damage for Tanks
Stats: +600 HP, +15 Physical Defense, +15 Magic Defense, +20 Movement Speed
Passive: Thunderbolt Every 4 seconds, the next Basic Attack deals 50 (+100% Extra Physical Defense) (+100% Extra Magic Defense) extra True Damage to the target and enemies around them, and briefly slows them by 99%. Hybrid Defense permanently increases by 1 each time the attack hits an enemy hero. (This effect is reduced to 50% for Marksmen and Mages)"
Vitality Crystal,Item / Defense,+230 HP,+230 HP,,300 gold,https://www.mlbbguides.com/tupian/zhuangbei/vitality-crystal.png,"Item: Vitality Crystal
Category: Item / Defense
Cost: 300 gold
Description: +230 HP
Stats: +230 HP
Passive:"
Bloody Retribution,Item / Jungling,"Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and...","Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and steals HP equal to 300 plus 24% of the caster's extra HP from them for 3 seconds. Retribution is upgraded when the total number of creep kills, hero kills, and assists reaches 5.","active Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and steals HP equal to 300 plus 24% of the caster's extra HP from them for 3 seconds. Retribution is upgraded when the total number of creep kills, hero kills, and assists reaches 5.",Active,https://www.mlbbguides.com/tupian/zhuangbei/bloody-retribution.png,"Item: Bloody Retribution
Category: Item / Jungling
Cost: Active
Description: Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and...
Stats: Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and steals HP equal to 300 plus 24% of the caster's extra HP from them for 3 seconds. Retribution is upgraded when the total number of creep kills, hero kills, and assists reaches 5.
Passive: active Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and steals HP equal to 300 plus 24% of the caster's extra HP from them for 3 seconds. Retribution is upgraded when the total number of creep kills, hero kills, and assists reaches 5."
Flame Retribution,Item / Jungling,"Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and...","Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and steals 71-120 Physical Attack and Magic Power (scales with level) from them for 3 seconds. Retribution is upgraded when the total number of creep kills, hero kills, and assists reaches 5.","active Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and steals 71-120 Physical Attack and Magic Power (scales with level) from them for 3 seconds. Retribution is upgraded when the total number of creep kills, hero kills, and assists reaches 5.",Active,https://www.mlbbguides.com/tupian/zhuangbei/flame-retribution.png,"Item: Flame Retribution
Category: Item / Jungling
Cost: Active
Description: Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and...
Stats: Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and steals 71-120 Physical Attack and Magic Power (scales with level) from them for 3 seconds. Retribution is upgraded when the total number of creep kills, hero kills, and assists reaches 5.
Passive: active Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and steals 71-120 Physical Attack and Magic Power (scales with level) from them for 3 seconds. Retribution is upgraded when the total number of creep kills, hero kills, and assists reaches 5."
Ice Retribution,Item / Jungling,"Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and...","Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and steals 52-80 Movement Speed (scales with level) from them for 3 seconds. Retribution is upgraded when the total number of creep kills, hero kills, and assists reaches 5.","active Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and steals 52-80 Movement Speed (scales with level) from them for 3 seconds. Retribution is upgraded when the total number of creep kills, hero kills, and assists reaches 5.",Active,https://www.mlbbguides.com/tupian/zhuangbei/ice-retribution.png,"Item: Ice Retribution
Category: Item / Jungling
Cost: Active
Description: Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and...
Stats: Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and steals 52-80 Movement Speed (scales with level) from them for 3 seconds. Retribution is upgraded when the total number of creep kills, hero kills, and assists reaches 5.
Passive: active Retribution's damage against creeps and minions is increased to 150%. When cast on an enemy hero, deals them 100 True Damage and steals 52-80 Movement Speed (scales with level) from them for 3 seconds. Retribution is upgraded when the total number of creep kills, hero kills, and assists reaches 5."
Azure Blade,Item / Magic,"+5 Mana Regen, +5% Cooldown Reduction","+5 Mana Regen, +5% Cooldown Reduction","Judgement After casting a skill, the next Basic Attack within 3 seconds deals 50 extra True Damage (1.5 seconds cooldown).",600 gold,https://www.mlbbguides.com/tupian/zhuangbei/azure-blade.png,"Item: Azure Blade
Category: Item / Magic
Cost: 600 gold
Description: +5 Mana Regen, +5% Cooldown Reduction
Stats: +5 Mana Regen, +5% Cooldown Reduction
Passive: Judgement After casting a skill, the next Basic Attack within 3 seconds deals 50 extra True Damage (1.5 seconds cooldown)."
Blood Wings,Item / Magic,Speed Boost Shield,+90 Magic Power,Guard Gains a 800 (+100% Magic Power) Shield that will regenerate 20 seconds after being damaged. The Shield also grants 30 Movement Speed while it lasts and 150 Movement Speed for 1 second after it breaks.,2100 gold,https://www.mlbbguides.com/tupian/zhuangbei/blood-wings.png,"Item: Blood Wings
Category: Item / Magic
Cost: 2100 gold
Description: Speed Boost Shield
Stats: +90 Magic Power
Passive: Guard Gains a 800 (+100% Magic Power) Shield that will regenerate 20 seconds after being damaged. The Shield also grants 30 Movement Speed while it lasts and 150 Movement Speed for 1 second after it breaks."
Book of Sages,Item / Magic,"+8 Magic Power, +5% Cooldown Reduction","+8 Magic Power, +5% Cooldown Reduction",,450 gold,https://www.mlbbguides.com/tupian/zhuangbei/book-of-sages.png,"Item: Book of Sages
Category: Item / Magic
Cost: 450 gold
Description: +8 Magic Power, +5% Cooldown Reduction
Stats: +8 Magic Power, +5% Cooldown Reduction
Passive:"
Clock of Destiny,Item / Magic,For Magic Tanks,"+45 Magic Power, +400 HP, +400 Mana, +10% Cooldown Reduction","Destiny Gains 4.5(+0.5*Hero Level) Hybrid Defense for 5 seconds when dealing Magic Damage to enemy heroes, stacking up to 6 times (can gain 1 stack every 0.4 seconds).",2030 gold,https://www.mlbbguides.com/tupian/zhuangbei/clock-of-destiny.png,"Item: Clock of Destiny
Category: Item / Magic
Cost: 2030 gold
Description: For Magic Tanks
Stats: +45 Magic Power, +400 HP, +400 Mana, +10% Cooldown Reduction
Passive: Destiny Gains 4.5(+0.5*Hero Level) Hybrid Defense for 5 seconds when dealing Magic Damage to enemy heroes, stacking up to 6 times (can gain 1 stack every 0.4 seconds)."
Concentrated Energy,Item / Magic,Continuous Damage Boost,"+75 Magic Power, +400 HP",unique +20% Hybrid Lifesteal,2020 gold,https://www.mlbbguides.com/tupian/zhuangbei/concentrated-energy.png,"Item: Concentrated Energy
Category: Item / Magic
Cost: 2020 gold
Description: Continuous Damage Boost
Stats: +75 Magic Power, +400 HP
Passive: unique +20% Hybrid Lifesteal"
Divine Glaive,Item / Magic,Magic Penetration,+65 Magic Power,unique +40% Magic Penetration,1970 gold,https://www.mlbbguides.com/tupian/zhuangbei/divine-glaive.png,"Item: Divine Glaive
Category: Item / Magic
Cost: 1970 gold
Description: Magic Penetration
Stats: +65 Magic Power
Passive: unique +40% Magic Penetration"
Elegant Gem,Item / Magic,"+300 HP, +380 Mana","+300 HP, +380 Mana","Gift When HP drops below 50%, recovers 15% of HP over the next 3 seconds. When Mana drops below 50%, restores 15% of Mana over the next 3 seconds. Cooldown: 60 seconds.",700 gold,https://www.mlbbguides.com/tupian/zhuangbei/elegant-gem.png,"Item: Elegant Gem
Category: Item / Magic
Cost: 700 gold
Description: +300 HP, +380 Mana
Stats: +300 HP, +380 Mana
Passive: Gift When HP drops below 50%, recovers 15% of HP over the next 3 seconds. When Mana drops below 50%, restores 15% of Mana over the next 3 seconds. Cooldown: 60 seconds."
Enchanted Talisman,Item / Magic,Mana Regen & CD Reduction,"+70 Magic Power, +300 HP, +15% Cooldown Reduction",Mana Spring Regenerates 15% of Max Mana every 10 seconds.,2070 gold,https://www.mlbbguides.com/tupian/zhuangbei/enchanted-talisman.png,"Item: Enchanted Talisman
Category: Item / Magic
Cost: 2070 gold
Description: Mana Regen & CD Reduction
Stats: +70 Magic Power, +300 HP, +15% Cooldown Reduction
Passive: Mana Spring Regenerates 15% of Max Mana every 10 seconds."
Exotic Veil,Item / Magic,"+30 Magic Power, +5% Movement Speed","+30 Magic Power, +5% Movement Speed",,600 gold,https://www.mlbbguides.com/tupian/zhuangbei/exotic-veil.png,"Item: Exotic Veil
Category: Item / Magic
Cost: 600 gold
Description: +30 Magic Power, +5% Movement Speed
Stats: +30 Magic Power, +5% Movement Speed
Passive:"
Feather of Heaven,Item / Magic,Magic Basic Attacks,"+60 Magic Power, +20% Attack Speed, +10% Lifesteal, +5% Cooldown Reduction",Affliction Each Basic Attack deals extra 50 (+30% Total Magic Power) Magic Damage.,2030 gold,https://www.mlbbguides.com/tupian/zhuangbei/feather-of-heaven.png,"Item: Feather of Heaven
Category: Item / Magic
Cost: 2030 gold
Description: Magic Basic Attacks
Stats: +60 Magic Power, +20% Attack Speed, +10% Lifesteal, +5% Cooldown Reduction
Passive: Affliction Each Basic Attack deals extra 50 (+30% Total Magic Power) Magic Damage."
Flask of the Oasis,Item / Magic,Protect Teammates,"+60 Magic Power, +300 HP, +10% Cooldown Reduction",unique +12% Healing Effect,1850 gold,https://www.mlbbguides.com/tupian/zhuangbei/flask-of-the-oasis.png,"Item: Flask of the Oasis
Category: Item / Magic
Cost: 1850 gold
Description: Protect Teammates
Stats: +60 Magic Power, +300 HP, +10% Cooldown Reduction
Passive: unique +12% Healing Effect"
Flower of Hope,Item / Magic,+5% Adaptive Attack,+5% Adaptive Attack,"Flower of Hope Every 6 seconds, the next skill or Basic Attack deals an additional 60 (+30% Total Physical Attack) (+30% Total Magic Power) Magic Damage.",,https://www.mlbbguides.com/tupian/zhuangbei/flower-of-hope.png,"Item: Flower of Hope
Category: Item / Magic
Cost: 
Description: +5% Adaptive Attack
Stats: +5% Adaptive Attack
Passive: Flower of Hope Every 6 seconds, the next skill or Basic Attack deals an additional 60 (+30% Total Physical Attack) (+30% Total Magic Power) Magic Damage."
Genius Wand,Item / Magic,Magic Defense Reduction,"+75 Magic Power, +5% Movement Speed",unique +10 Magic Penetration,2000 gold,https://www.mlbbguides.com/tupian/zhuangbei/genius-wand.png,"Item: Genius Wand
Category: Item / Magic
Cost: 2000 gold
Description: Magic Defense Reduction
Stats: +75 Magic Power, +5% Movement Speed
Passive: unique +10 Magic Penetration"
Glowing Wand,Item / Magic,Healing Reduction,"+60 Magic Power, +300 HP, +5% Movement Speed","Scorch Dealing Magic Damage burns the targets for 3 seconds, also dealing extra Magic Damage equal to 1% of the target's Max HP per second.",2150 gold,https://www.mlbbguides.com/tupian/zhuangbei/glowing-wand.png,"Item: Glowing Wand
Category: Item / Magic
Cost: 2150 gold
Description: Healing Reduction
Stats: +60 Magic Power, +300 HP, +5% Movement Speed
Passive: Scorch Dealing Magic Damage burns the targets for 3 seconds, also dealing extra Magic Damage equal to 1% of the target's Max HP per second."
Holy Crystal,Item / Magic,Max Magic Power,+165 Magic Power,Mystery Gains 21%-35% extra Magic Power (scales with level).,3000 gold,https://www.mlbbguides.com/tupian/zhuangbei/holy-crystal.png,"Item: Holy Crystal
Category: Item / Magic
Cost: 3000 gold
Description: Max Magic Power
Stats: +165 Magic Power
Passive: Mystery Gains 21%-35% extra Magic Power (scales with level)."
Ice Queen Wand,Item / Magic,Slow on Skill Hit,"+60 Magic Power, +10% Spell Vamp, +300 HP, +7% Movement Speed","Ice Bound When a skill deals damage to an enemy hero, it will also slow them by 10% for 2 seconds (stacks up to 3 times). This effect has a 0.4 seconds cooldown.",2040 gold,https://www.mlbbguides.com/tupian/zhuangbei/ice-queen-wand.png,"Item: Ice Queen Wand
Category: Item / Magic
Cost: 2040 gold
Description: Slow on Skill Hit
Stats: +60 Magic Power, +10% Spell Vamp, +300 HP, +7% Movement Speed
Passive: Ice Bound When a skill deals damage to an enemy hero, it will also slow them by 10% for 2 seconds (stacks up to 3 times). This effect has a 0.4 seconds cooldown."
Lantern of Hope,Item / Magic,"+20 Magic Power, +4% Movement Speed, +2% Cooldown Reduction","+20 Magic Power, +4% Movement Speed, +2% Cooldown Reduction",Lantern of Hope The equipment's attributes scale with hero level.,,https://www.mlbbguides.com/tupian/zhuangbei/lantern-of-hope.png,"Item: Lantern of Hope
Category: Item / Magic
Cost: 
Description: +20 Magic Power, +4% Movement Speed, +2% Cooldown Reduction
Stats: +20 Magic Power, +4% Movement Speed, +2% Cooldown Reduction
Passive: Lantern of Hope The equipment's attributes scale with hero level."
Lightning Truncheon,Item / Magic,Splash Damage,"+75 Magic Power, +400 Mana, +10% Cooldown Reduction","Resonate Every 6 seconds, the next skill echoes, dealing 255 (+85% Magic Power) extra Magic Damage to all enemies in range.",2250 gold,https://www.mlbbguides.com/tupian/zhuangbei/lightning-truncheon.png,"Item: Lightning Truncheon
Category: Item / Magic
Cost: 2250 gold
Description: Splash Damage
Stats: +75 Magic Power, +400 Mana, +10% Cooldown Reduction
Passive: Resonate Every 6 seconds, the next skill echoes, dealing 255 (+85% Magic Power) extra Magic Damage to all enemies in range."
Magic Necklace,Item / Magic,+2 Mana Regen,+2 Mana Regen,,120 gold,https://www.mlbbguides.com/tupian/zhuangbei/magic-necklace.png,"Item: Magic Necklace
Category: Item / Magic
Cost: 120 gold
Description: +2 Mana Regen
Stats: +2 Mana Regen
Passive:"
Magic Potion,Item / Magic,"Automatically used after purchasing, increases Magic Power by 30 and Cooldown Reduction by 10% for 120s. Can only have one potion...","Automatically used after purchasing, increases Magic Power by 30 and Cooldown Reduction by 10% for 120s. Can only have one potion effect at a time.","Increase Power Automatically used after purchasing, increases Magic Power by 30 and Cooldown Reduction by 10% for 120s. Can only have one potion effect at a time.",1500 gold,https://www.mlbbguides.com/tupian/zhuangbei/magic-potion.png,"Item: Magic Potion
Category: Item / Magic
Cost: 1500 gold
Description: Automatically used after purchasing, increases Magic Power by 30 and Cooldown Reduction by 10% for 120s. Can only have one potion...
Stats: Automatically used after purchasing, increases Magic Power by 30 and Cooldown Reduction by 10% for 120s. Can only have one potion effect at a time.
Passive: Increase Power Automatically used after purchasing, increases Magic Power by 30 and Cooldown Reduction by 10% for 120s. Can only have one potion effect at a time."
Magic Wand,Item / Magic,+45 Magic Power,+45 Magic Power,,820 gold,https://www.mlbbguides.com/tupian/zhuangbei/magic-wand.png,"Item: Magic Wand
Category: Item / Magic
Cost: 820 gold
Description: +45 Magic Power
Stats: +45 Magic Power
Passive:"
Mystery Codex,Item / Magic,+15 Magic Power,+15 Magic Power,,300 gold,https://www.mlbbguides.com/tupian/zhuangbei/mystery-codex.png,"Item: Mystery Codex
Category: Item / Magic
Cost: 300 gold
Description: +15 Magic Power
Stats: +15 Magic Power
Passive:"
Mystic Container,Item / Magic,"+15 Magic Power, +8% Spell Vamp","+15 Magic Power, +8% Spell Vamp",,500 gold,https://www.mlbbguides.com/tupian/zhuangbei/mystic-container.png,"Item: Mystic Container
Category: Item / Magic
Cost: 500 gold
Description: +15 Magic Power, +8% Spell Vamp
Stats: +15 Magic Power, +8% Spell Vamp
Passive:"
Power Crystal,Item / Magic,+280 Mana,+280 Mana,,220 gold,https://www.mlbbguides.com/tupian/zhuangbei/power-crystal.png,"Item: Power Crystal
Category: Item / Magic
Cost: 220 gold
Description: +280 Mana
Stats: +280 Mana
Passive:"
Starlium Scythe,Item / Magic,Enhanced Basic Attacks,"+75 Magic Power, +10% Cooldown Reduction, +8% Hybrid Lifesteal, +6 Mana Regen","Crisis After casting a skill, the next Basic Attack within 3 seconds deals 90 (+60% Total Magic Power) extra True Damage and reduces the target's Movement Speed by 15% for 1.5 seconds (1.5 seconds cooldown).",2120 gold,https://www.mlbbguides.com/tupian/zhuangbei/starlium-scythe.png,"Item: Starlium Scythe
Category: Item / Magic
Cost: 2120 gold
Description: Enhanced Basic Attacks
Stats: +75 Magic Power, +10% Cooldown Reduction, +8% Hybrid Lifesteal, +6 Mana Regen
Passive: Crisis After casting a skill, the next Basic Attack within 3 seconds deals 90 (+60% Total Magic Power) extra True Damage and reduces the target's Movement Speed by 15% for 1.5 seconds (1.5 seconds cooldown)."
Tome of Evil,Item / Magic,"+30 Magic Power, +2 Mana Regen, +10% Cooldown Reduction","+30 Magic Power, +2 Mana Regen, +10% Cooldown Reduction",,950 gold,https://www.mlbbguides.com/tupian/zhuangbei/tome-of-evil.png,"Item: Tome of Evil
Category: Item / Magic
Cost: 950 gold
Description: +30 Magic Power, +2 Mana Regen, +10% Cooldown Reduction
Stats: +30 Magic Power, +2 Mana Regen, +10% Cooldown Reduction
Passive:"
Wishing Lantern,Item / Magic,Counter High HP,"+75 Magic Power, +400 Mana, +10% Cooldown Reduction","Butterfly Goddess For every 900 Magic Damage dealt to an enemy hero (calculated before Damage Reduction), a Butterfly Goddess is summoned to attack the enemy hero, dealing Magic Damage equal to 8% of their Current HP.",2250 gold,https://www.mlbbguides.com/tupian/zhuangbei/wishing-lantern.png,"Item: Wishing Lantern
Category: Item / Magic
Cost: 2250 gold
Description: Counter High HP
Stats: +75 Magic Power, +400 Mana, +10% Cooldown Reduction
Passive: Butterfly Goddess For every 900 Magic Damage dealt to an enemy hero (calculated before Damage Reduction), a Butterfly Goddess is summoned to attack the enemy hero, dealing Magic Damage equal to 8% of their Current HP."
Allow Throw,Item / Movement,Allow allied Jawhead to fling you.,Allow allied Jawhead to fling you.,Trust Allow allied Jawhead to fling you.,,https://www.mlbbguides.com/tupian/zhuangbei/allow-throw.png,"Item: Allow Throw
Category: Item / Movement
Cost: 
Description: Allow allied Jawhead to fling you.
Stats: Allow allied Jawhead to fling you.
Passive: Trust Allow allied Jawhead to fling you."
Arcane Boots,Item / Movement,Magic Penetration,"+40 Movement Speed, +15 Magic Power, +10 Magic Penetration",,720 gold,https://www.mlbbguides.com/tupian/zhuangbei/arcane-boots.png,"Item: Arcane Boots
Category: Item / Movement
Cost: 720 gold
Description: Magic Penetration
Stats: +40 Movement Speed, +15 Magic Power, +10 Magic Penetration
Passive:"
Boots,Item / Movement,+20 Movement Speed,+20 Movement Speed,,250 gold,https://www.mlbbguides.com/tupian/zhuangbei/boots.png,"Item: Boots
Category: Item / Movement
Cost: 250 gold
Description: +20 Movement Speed
Stats: +20 Movement Speed
Passive:"
Broken Heart,Item / Movement,Become immune to allied Cecilion's Moonlit Waltz in this match.,Become immune to allied Cecilion's Moonlit Waltz in this match.,Heart Broken Become immune to allied Cecilion's Moonlit Waltz in this match.,,https://www.mlbbguides.com/tupian/zhuangbei/broken-heart.png,"Item: Broken Heart
Category: Item / Movement
Cost: 
Description: Become immune to allied Cecilion's Moonlit Waltz in this match.
Stats: Become immune to allied Cecilion's Moonlit Waltz in this match.
Passive: Heart Broken Become immune to allied Cecilion's Moonlit Waltz in this match."
Demon Shoes,Item / Movement,Quick Mana Regen,"+40 Movement Speed, +10 Mana Regen",Mysticism Getting a kill or assist on an enemy Minion will restore 4% Mana. (An assist occurs when a Minion dies within 2 seconds after taking damage from the hero.),720 gold,https://www.mlbbguides.com/tupian/zhuangbei/demon-shoes.png,"Item: Demon Shoes
Category: Item / Movement
Cost: 720 gold
Description: Quick Mana Regen
Stats: +40 Movement Speed, +10 Mana Regen
Passive: Mysticism Getting a kill or assist on an enemy Minion will restore 4% Mana. (An assist occurs when a Minion dies within 2 seconds after taking damage from the hero.)"
Magic Shoes,Item / Movement,CD Reduction,"+40 Movement Speed, +10% Cooldown Reduction, +150 HP",,720 gold,https://www.mlbbguides.com/tupian/zhuangbei/magic-shoes.png,"Item: Magic Shoes
Category: Item / Movement
Cost: 720 gold
Description: CD Reduction
Stats: +40 Movement Speed, +10% Cooldown Reduction, +150 HP
Passive:"
Rapid Boots,Item / Movement,Movement Speed,"+65 Movement Speed, +35% Slow Reduction, +12 HP Regen",Side Effect Loses 20 Movement Speed for 5 seconds upon dealing or taking damage.,720 gold,https://www.mlbbguides.com/tupian/zhuangbei/rapid-boots.png,"Item: Rapid Boots
Category: Item / Movement
Cost: 720 gold
Description: Movement Speed
Stats: +65 Movement Speed, +35% Slow Reduction, +12 HP Regen
Passive: Side Effect Loses 20 Movement Speed for 5 seconds upon dealing or taking damage."
Resonating Heart,Item / Movement,Allow allied Cecilion to use Moonlit Waltz on the user of this equipment.,Allow allied Cecilion to use Moonlit Waltz on the user of this equipment.,Restore Allow allied Cecilion to use Moonlit Waltz on the user of this equipment.,,https://www.mlbbguides.com/tupian/zhuangbei/resonating-heart.png,"Item: Resonating Heart
Category: Item / Movement
Cost: 
Description: Allow allied Cecilion to use Moonlit Waltz on the user of this equipment.
Stats: Allow allied Cecilion to use Moonlit Waltz on the user of this equipment.
Passive: Restore Allow allied Cecilion to use Moonlit Waltz on the user of this equipment."
Swift Boots,Item / Movement,Attack Speed,"+40 Movement Speed, +15% Attack Speed",,720 gold,https://www.mlbbguides.com/tupian/zhuangbei/swift-boots.png,"Item: Swift Boots
Category: Item / Movement
Cost: 720 gold
Description: Attack Speed
Stats: +40 Movement Speed, +15% Attack Speed
Passive:"
Throw Forbidden,Item / Movement,Become immune to allied Jawhead's Ejector in this match.,Become immune to allied Jawhead's Ejector in this match.,Heavy Mountain Become immune to allied Jawhead's Ejector in this match.,,https://www.mlbbguides.com/tupian/zhuangbei/throw-forbidden.png,"Item: Throw Forbidden
Category: Item / Movement
Cost: 
Description: Become immune to allied Jawhead's Ejector in this match.
Stats: Become immune to allied Jawhead's Ejector in this match.
Passive: Heavy Mountain Become immune to allied Jawhead's Ejector in this match."
Tough Boots,Item / Movement,CC Duration Reduction,"+40 Movement Speed, +18 Magic Defense",Fortitude CC and Slow Duration reduced by 25%.,720 gold,https://www.mlbbguides.com/tupian/zhuangbei/tough-boots.png,"Item: Tough Boots
Category: Item / Movement
Cost: 720 gold
Description: CC Duration Reduction
Stats: +40 Movement Speed, +18 Magic Defense
Passive: Fortitude CC and Slow Duration reduced by 25%."
Warrior Boots,Item / Movement,Stackable Physical Defense,"+40 Movement Speed, +18 Physical Defense","Valor Gains 4 extra Physical Defense for 3 seconds when taking Physical Damage, up to 20.",720 gold,https://www.mlbbguides.com/tupian/zhuangbei/warrior-boots.png,"Item: Warrior Boots
Category: Item / Movement
Cost: 720 gold
Description: Stackable Physical Defense
Stats: +40 Movement Speed, +18 Physical Defense
Passive: Valor Gains 4 extra Physical Defense for 3 seconds when taking Physical Damage, up to 20."
Active - Conceal,Item / Roam,"Conceals nearby allied heroes (including self) and grants them 40% extra Movement Speed for 5 seconds, or until they deal or take...","Conceals nearby allied heroes (including self) and grants them 40% extra Movement Speed for 5 seconds, or until they deal or take damage. Heroes with this Blessing can gain EXP and Gold by dealing damage to enemy heroes (Cooldown: 15 seconds) or revealing enemies. This skill can only be unlocked after accumulating 1000 Gold from Thriving and Devotion.","active Conceals nearby allied heroes (including self) and grants them 40% extra Movement Speed for 5 seconds, or until they deal or take damage. Heroes with this Blessing can gain EXP and Gold by dealing damage to enemy heroes (Cooldown: 15 seconds) or revealing enemies. This skill can only be unlocked after accumulating 1000 Gold from Thriving and Devotion.",Active,https://www.mlbbguides.com/tupian/zhuangbei/active-conceal.png,"Item: Active - Conceal
Category: Item / Roam
Cost: Active
Description: Conceals nearby allied heroes (including self) and grants them 40% extra Movement Speed for 5 seconds, or until they deal or take...
Stats: Conceals nearby allied heroes (including self) and grants them 40% extra Movement Speed for 5 seconds, or until they deal or take damage. Heroes with this Blessing can gain EXP and Gold by dealing damage to enemy heroes (Cooldown: 15 seconds) or revealing enemies. This skill can only be unlocked after accumulating 1000 Gold from Thriving and Devotion.
Passive: active Conceals nearby allied heroes (including self) and grants them 40% extra Movement Speed for 5 seconds, or until they deal or take damage. Heroes with this Blessing can gain EXP and Gold by dealing damage to enemy heroes (Cooldown: 15 seconds) or revealing enemies. This skill can only be unlocked after accumulating 1000 Gold from Thriving and Devotion."
Passive - Dire Hit,Item / Roam,"After dealing damage to an enemy hero, mark them for 3 seconds. Allied heroes' sttacks on marked targets deal additional Physical...","After dealing damage to an enemy hero, mark them for 3 seconds. Allied heroes' sttacks on marked targets deal additional Physical and Magic Damage equal to 12% of the target's Max HP. Cooldown: 15 seconds. Heroes with this Blessing can gain EXP and Gold by dealing damage to enemy heroes (Cooldown: 15 seconds) or revealing enemy vision. This skill can only be unlocked after accumulating 1000 Gold from Thriving and Devotion.","passive After dealing damage to an enemy hero, mark them for 3 seconds. Allied heroes' sttacks on marked targets deal additional Physical and Magic Damage equal to 12% of the target's Max HP. Cooldown: 15 seconds. Heroes with this Blessing can gain EXP and Gold by dealing damage to enemy heroes (Cooldown: 15 seconds) or revealing enemy vision. This skill can only be unlocked after accumulating 1000 Gold from Thriving and Devotion.",,https://www.mlbbguides.com/tupian/zhuangbei/passive-dire-hit.png,"Item: Passive - Dire Hit
Category: Item / Roam
Cost: 
Description: After dealing damage to an enemy hero, mark them for 3 seconds. Allied heroes' sttacks on marked targets deal additional Physical...
Stats: After dealing damage to an enemy hero, mark them for 3 seconds. Allied heroes' sttacks on marked targets deal additional Physical and Magic Damage equal to 12% of the target's Max HP. Cooldown: 15 seconds. Heroes with this Blessing can gain EXP and Gold by dealing damage to enemy heroes (Cooldown: 15 seconds) or revealing enemy vision. This skill can only be unlocked after accumulating 1000 Gold from Thriving and Devotion.
Passive: passive After dealing damage to an enemy hero, mark them for 3 seconds. Allied heroes' sttacks on marked targets deal additional Physical and Magic Damage equal to 12% of the target's Max HP. Cooldown: 15 seconds. Heroes with this Blessing can gain EXP and Gold by dealing damage to enemy heroes (Cooldown: 15 seconds) or revealing enemy vision. This skill can only be unlocked after accumulating 1000 Gold from Thriving and Devotion."
